Submission Date (Central Time),ucnValue,mouseFlowPlaybackUrl,audience,email_address,Overall Rating,Comments,Feedback Categories,Subcategory
7/20/2022,,,,,5,I love the book packs that allow me to save money in order to get books in all of my student's hands.,Thanks/Praise,Thanks/Praise
7/20/2022,,,,,3,On my phone it wants to only show my account page and not let me shop for books.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,1,"I cannot navigate your site.  I have no idea where to set up my order dates, get links for catalogs, etc...",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,1,I couldn't find where to put in 22/23 grade levels.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,I am interested in seeing more of the 10 books for $10 dollars for the classroom sets.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,I wish you guys had Michael Vey books.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,My students and I love to preview the book order flyers and make wishlists!,Thanks/Praise,Thanks/Praise
7/20/2022,,,,,4,There were two books I was hoping to order that scholastic did  no stock.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,3,Looking for a birthday gift for my child.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,"I have grant money and was excited to shop.  Unfortunately, some items were not available.  I wanted to buy classroom posters and other classroom supplies but that was not available.  I also wanted the book, Hatchet by Gary Paulsen, however, that was not available either.",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,I love Scholastic Book Clubs but wasn't happy with the delays I experienced last year. Parents were reluctant to place orders because they were afraid they wouldn't receive them in time for a birthday or holiday. I am hoping that this year is different.,Thanks/Praise,Thanks/Praise
7/20/2022,,,,,4,Not enough board book selection,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,Wishing for more value packs and inexpensive books to buy for the beginning of the school year especially when trying to buy class sets of books.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Promised to send an invitation to a new colleague!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,Very sad to see less value packs that have 10 books for 10.00. I went for the 6 books for 7.00 dollars. I would even do 10 books for 11.00.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"I find it difficult to navigate ""free boos earned.""  It seems clunky to me.  I spent 10 minutes just trying to get it right.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"I wish the ""Book Fairies"" campaign was more structured and allowed access to the $1 books easily.  I was able to figure out how to order for most of the year.  I hope I am able to fulfill what I told parents/friends/families that donated.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,I really hope there will be more dollar books to choose from this year! my students love receiving a book each month!!,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"This site is difficult to navigate. Because of this, I have limited my use of this site.  It is too time consuming.  Last week, I tried to place an order, but I could not navigate through the site.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,Search feature did not provide results... had to just browse.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,It's a shame that you charge so much in shipping for teachers.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"Last year, it was very difficult to receive my order. I am hoping this year my order will come in a timely manner. That has been the main reason why I haven't been ordering books lately. I do hope Scholastic's will keep the prices reasonable and keep the classic stories like, Charlotte's Web, The Little House in the Big Woods, Island of the Blue Dolphin, etc. These are books are great literature!",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"Last year, it was very difficult to receive my order. I am hoping this year my order will come in a timely manner. That has been the main reason why I haven't been ordering books lately. I do hope Scholastic's will keep the prices reasonable and keep the classic stories like, Charlotte's Web, The Little House in the Big Woods, Island of the Blue Dolphin, etc. These are books are great literature!",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I miss the 10 for $10 too!,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"I was trying to purchase a class set of books & by the time I got to check out it wouldn't allow me, then soon after it was sold out. So sad...are there no more of the show and tell books available?",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Scholastic is a blessing!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,2,"I couldn't find the books I was looking for: Colorless, Who You Are, and Super Gay by Jessica Hersey.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Please bring back $1 books.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I had some technical issues and the live chat was very helpful. they submitted a fix-it ticket and the issue was resolved,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,some technical difficulties Site unresponsive,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,I wish there were more $1 books that I could order class sets of. Building a child's home library is a priority for me as many kids do not have books at home unless the get them at school.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,We would love to see more bilingual books for early Childhood,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I would like to see more books. I feel like they are the same books over and over again.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"I wish that it was easier for me to buy $1 books for my students. You used to have one book a month that was $1-1.50. I would buy this book each month. Now you do not. I have to spend over $100 a month in order to buy books for my students, Luckily my friends and family are generous and I have plenty of money to spend. I wish you didn't create the $1.00 store. It is STUPID.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Order books for my classroom before kids come.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,I was sad that a few of the new books were out of stock already and that the prices are a bit expensive. I work in a low income school district and my families can't afford these books.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,I was surprised at the small selection of books in the dollar book store.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"As a teacher purchasing books for students each month, I was disappointed that there was no longer the 10 for $10 option.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Great experience as always!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,"I wish that you had all the books available to buy with points. For example, I can check out by paying for The Tale of Beedle the Bard through my teacher order but not on book clubs even though I have students that can and will want to read it.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,I ordered books for our 4 year olds to give at home visits.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Thank you so much. My students love these Shonen Jump . Please add older copies to the store.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Thank you so much. My students love these Shonen Jump . Please add older copies to the store.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,1,"Lists aren't working to add a student to a class, poorly designed website",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I couldn't find Target gift cards in the bonus items.  A chat representative directed  me as to how to order them.  Thanks Yvonne.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,1,"I can't check out without information about my child's teacher, which I will not have until school starts.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Easy to navigate,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,"I truly appreciated you making book packs for $7 affordable for teachers! I am purchasing books each month, 1 for each student and this makes it so wonderful!   Thank you!!!!",Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,"I wish the books were sent directly home, it takes too long to get to the school.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,No longer states if a book is paperback or hardcover. Ordered a Piggy and Elephant and have no idea if it's paper or hard.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,When I was in school I loved this in school I wanted to have it for my 5 year old at home but it's for teachers,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,1,"I don't like that my other books were taken out of my cart. I had books in my cart from 2 weeks ago and they have disappeared. That never happened before. It is upsetting when you think you are coming to check out and your books are gone. I also don't like that there is almost no way to get $1 books! I got them today because I bought birthday coupons, but normally, I would not spend that much and I would not be able to get the books at this price. Please bring back the 10 for $10 or something that is affordable for teachers trying to purchase class sets of books.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"I don't like that my other books were taken out of my cart. I had books in my cart from 2 weeks ago and they have disappeared. That never happened before. It is upsetting when you think you are coming to check out and your books are gone. I also don't like that there is almost no way to get $1 books! I got them today because I bought birthday coupons, but normally, I would not spend that much and I would not be able to get the books at this price. Please bring back the 10 for $10 or something that is affordable for teachers trying to purchase class sets of books.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,"I would like to see Eric Carle picture books, particularly Very Hungry Caterpillar and Brown Bear, Brown Bear.  Thank you",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,The flexible seating option I wanted was out of stock.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,Can no longer find books listed by a/r level. There are never enough K-1 a/r books.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Do not yet have teacher assignment,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,1,I have been having trouble logging into my account. It takes too long to call someone to fix my issues.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Love Scholastic Books,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,BRING BACK THE BONUS POINT MACBOOK!  I've saved up bonus points for years to get a MacBook and NOW you take them off your Bonus Points rewards. Really frustrating. I won't spend another dollar with Scholastic until they are back.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"Hard to find the offers only available to teachers. I saw it once and looked at it, and then couldn't find my way back.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,love Scholastic,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,"I'm hoping that the orders will be processed and shipped quicker this year. For over 30 years my class has always loved book orders, and last year everyone was disappointed.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Thank you for having a wonderful book at a price I could afford for my class!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Still looking for CD Book sets,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,The log in was freezing up before I could put in my password.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,How do I change the teachers name associated with this class?,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,"I really. really  like the improved site .  You can save your order and come back to it later  and it is still there.! You can actually  select the pack of free books that you want, and when done ordering  everything is displayed at the end, including a listing of the free stuff as well as what was obtained by using book certificates. Thank you for those improvements. The improved site makes ordering so much easier, faster. and more productive.",Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,I love ordering books for my classroom and for my son as well on this website!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Wished there would have been some 25 for $25 sets or something similar.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,Couldn't find the 25 books for $25 when I was looking today for library building sets. Are they no longer available or was is just my inability to find them? Hopefully it was just me.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"The prices are higher than amazon for almost every book I looked at except for bundles. Some of the bundles were really good!  Also, I couldn't figure out how to search for class sets (6 book packs, etc.) for just the grade level that I wanted. That would be nice. Another feature I wished I had seen was the ability to filter based on price limits, such as ""$3 or less, ""under $5"", etc. I would really have liked to be able to do that.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"The prices are higher than amazon for almost every book I looked at except for bundles. Some of the bundles were really good!  Also, I couldn't figure out how to search for class sets (6 book packs, etc.) for just the grade level that I wanted. That would be nice. Another feature I wished I had seen was the ability to filter based on price limits, such as ""$3 or less, ""under $5"", etc. I would really have liked to be able to do that.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,The site is super easy to use and I love that I can browse the digital flyers and order straight from them.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,"Sometimes it is just hard to navigate. For example, one of my colleagues had to point out the teacher exclusive tab to me.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"My only concern is how long it will take for the books to be delivered!  Last year when I ordered books the first week of Nov., they arrived the day before Christmas vacation.    I love Scholastic Book Clubs.  I've been with you nearly 30 years.  Wait.  How is that possible????    :)",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"When trying to view all of the options in the Bonus Catalog, it did not allow me to do that.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,Please expand the dollar book club selection and make it always available again!  We teachers are killing ourselves trying to keep books in our students hand often out of our OWN POCKETS!,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I wish I could select the reading level for the free books. I am a reading specialist and I teach all grade levels.  I wish I could pick the book pack that best fits the needs of my students (and library).  I have plenty of k-1 books . it is the higher level books that I am short on.    When did taxes start? How does that work.  does the teacher get stuck paying the taxes?,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"I am satisfied overall with Scholastic's book selection and pricing, but I wish all Scholastic book titles were available across all Scholastic sites (Book Clubs/Book Fairs/Scholastic.com) and were all the same price/discounts/bundles. For example, I just searched ""Harry Potter"" on both the book club site and on Scholastic.com and got 8 results from the club site and 52 from Scholastic.com. It is frustrating seeing books available on one site but not another, or the same book available for different prices on different sites - Scholastic is one company, correct? So why the different availability/pricing between your marketing pages? I understand showcasing a chosen range of books for book clubs, but I don't understand why your entire selection is not available on that site.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"I am satisfied overall with Scholastic's book selection and pricing, but I wish all Scholastic book titles were available across all Scholastic sites (Book Clubs/Book Fairs/Scholastic.com) and were all the same price/discounts/bundles. For example, I just searched ""Harry Potter"" on both the book club site and on Scholastic.com and got 8 results from the club site and 52 from Scholastic.com. It is frustrating seeing books available on one site but not another, or the same book available for different prices on different sites - Scholastic is one company, correct? So why the different availability/pricing between your marketing pages? I understand showcasing a chosen range of books for book clubs, but I don't understand why your entire selection is not available on that site.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,I am not thrilled that the 10 for $10 books are no longer available.  Hopefully they will come back soon!,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"I was looking for some items I purchased with bonus points awhile back, it does not seem like you carry them anymore.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,It helps that I can have it delivered to my house while the school isn't open yet and hopefully I will get it on time! :),Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Looking for a Jon Klassen value pack,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,"I wish your dollar book store that opens for teachers after $25 orders had a larger selection of books. Classroom teacher budgets are always small, and books for the classroom are typically bought and paid for out of teachers' own pockets, so offering a large variety of $1 books is extremely helpful.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,"I wish your dollar book store that opens for teachers after $25 orders had a larger selection of books. Classroom teacher budgets are always small, and books for the classroom are typically bought and paid for out of teachers' own pockets, so offering a large variety of $1 books is extremely helpful.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,The website is  organized great!  I love that my students can order from any of the catalogs.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,2,"I had some coupon to be used ~ and I couldn't find it.....perhaps it was at school.  It would be very helpful to have the coupons added to one's account ~ otherwise, I imagine a lot of coupons go unused.   ",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,"After the experience last year with books being sent to UPS store, a child's house that didn't order MY books ~ I was very hesitant to even order this year.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"I wish you'd bring back more classics, like fairy tales.  TV show and movie based books are always such garbage.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Love the getting new books for classroom library,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,I did not find Un beso en mi mano or any of Froggy collections in Spansih,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I love Scholastic!!!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,I couldn't figure out how to submit a parent order... didn't see it until I switched out of parent mode. Confusing!,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"I wish there were thumbnails or visuals of the books that I can select as our ""free book"".  Instead, it just gave us a list.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,I had to refresh the screen a few times when I would click the arrow to proceed to the next page of results and the site wouldn't respond. It is possible that the issue is my internet as I am out of town.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Don’t understand why the books can not be sent directly to me.  That they go to the teacher who distributes them.   If the order is over a certain amount it should go directly to the parents home.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,"I've always loved using Scholastic as a book resource for my classroom. However, last school year, I received my order months late. As a result, I was forced to notify all of my parents as to why their children's books were so late and I was forced to find books for my classroom elsewhere. This was definitely an inconvenience to me and upsetting to both my students and their parents. I'm hoping this year will be different.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,Trying to find my way around.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Appreciate you lowering the amount to 75$ for opening the dollar section.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,great selection of books,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,I found great books! I would like some book recommendations on what children are enjoying to read in the 3rd and 4th grade.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,I would like to add prepayment onto my account. I cannot figure out how to do this.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"I love scholastic, only it's expensive to ship to Hawaii (hence the 7 out of 10), otherwise it would be 10 out of 10.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,will not let me redeem READS coupon for free book when my total is $27,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Love the Class Campgain!! Thank you!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,I was disappointed that several book titles that were in the scholastic teacher store that I was interested in were not available on the book club site.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,I couldn't navigate easily from a flyer to the main site to search by grade level.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,Children's wishlist should be universal for families and friends to see,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,easy to navigate,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,I wish there were more choices for upper elementary readers. I already have purchased many of the books offered online.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I wish that the 10 book value pack was still available!,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I am actually neither a parent or teacher. I bought some books for a friend's classroom.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,Figuring out how to get the GRL level I wanted. Finding the value books.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I would love some more options in the teacher bonus catalog. School supplies that teachers often spend our own money on would be ideal!,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I love the teacher dollar store and would love to see more dollar books.  Each year I get sponsors to donate to purchase books for my class and asking for more money for $2 books isn’t ideal.,Not Thanks/Praise,Not Thanks/Praise
